Target,Feature Set,Model,Train Rows,Test Rows,Accuracy,Balanced Accuracy,F1,Precision,Recall
true_d%_T+1D,no_llm_prediction_features,Majority baseline,627,111,0.5495495495495496,0.5,0.7093023255813954,0.5495495495495496,1.0
true_d%_T+1D,no_llm_prediction_features,MLP classifier,627,111,0.5405405405405406,0.4918032786885246,0.7017543859649122,0.5454545454545454,0.9836065573770492
true_d%_T+1D,no_llm_prediction_features,Logistic regression,627,111,0.5315315315315315,0.48360655737704916,0.6941176470588235,0.5412844036697247,0.9672131147540983
true_d%_T+1D,no_llm_prediction_features,Gradient boosting,627,111,0.5135135135135135,0.4816393442622951,0.6447368421052632,0.5384615384615384,0.8032786885245902
true_d%_T+1D,no_llm_prediction_features,Random forest,627,111,0.4954954954954955,0.4688524590163935,0.6164383561643836,0.5294117647058824,0.7377049180327869
true_d%_T+1D,with_llm_prediction_features,Logistic regression,627,111,0.5765765765765766,0.5588524590163935,0.656934306569343,0.5921052631578947,0.7377049180327869
true_d%_T+1D,with_llm_prediction_features,MLP classifier,627,111,0.5585585585585585,0.5352459016393443,0.6573426573426573,0.573170731707317,0.7704918032786885
true_d%_T+1D,with_llm_prediction_features,Random forest,627,111,0.5405405405405406,0.5278688524590164,0.6106870229007634,0.5714285714285714,0.6557377049180327
true_d%_T+1D,with_llm_prediction_features,Majority baseline,627,111,0.5495495495495496,0.5,0.7093023255813954,0.5495495495495496,1.0
true_d%_T+1D,with_llm_prediction_features,Direct QwASR/LLM direction,0,111,0.4954954954954955,0.4959016393442623,0.5172413793103449,0.5454545454545454,0.4918032786885246
true_d%_T+1D,with_llm_prediction_features,Gradient boosting,627,111,0.5045045045045045,0.4770491803278688,0.6258503401360545,0.5348837209302325,0.7540983606557377
true_d%_T+3D,no_llm_prediction_features,Random forest,627,111,0.5315315315315315,0.5378985035783994,0.46938775510204084,0.575,0.39655172413793105
true_d%_T+3D,no_llm_prediction_features,Gradient boosting,627,111,0.5225225225225225,0.5333441769681198,0.39080459770114945,0.5862068965517241,0.29310344827586204
true_d%_T+3D,no_llm_prediction_features,Majority baseline,627,111,0.5225225225225225,0.5,0.6863905325443787,0.5225225225225225,1.0
true_d%_T+3D,no_llm_prediction_features,Logistic regression,627,111,0.4774774774774775,0.45770982433311647,0.6419753086419753,0.5,0.896551724137931
true_d%_T+3D,no_llm_prediction_features,MLP classifier,627,111,0.4774774774774775,0.45689655172413796,0.6463414634146342,0.5,0.9137931034482759
true_d%_T+3D,with_llm_prediction_features,Gradient boosting,627,111,0.5315315315315315,0.537085230969421,0.48,0.5714285714285714,0.41379310344827586
true_d%_T+3D,with_llm_prediction_features,Random forest,627,111,0.5045045045045045,0.5169160702667535,0.3373493975903614,0.56,0.2413793103448276
true_d%_T+3D,with_llm_prediction_features,Majority baseline,627,111,0.5225225225225225,0.5,0.6863905325443787,0.5225225225225225,1.0
true_d%_T+3D,with_llm_prediction_features,MLP classifier,627,111,0.5135135135135135,0.49137931034482757,0.6785714285714286,0.5181818181818182,0.9827586206896551
true_d%_T+3D,with_llm_prediction_features,Logistic regression,627,111,0.4954954954954955,0.47576447625243984,0.654320987654321,0.5096153846153846,0.9137931034482759
true_d%_T+3D,with_llm_prediction_features,Direct QwASR/LLM direction,0,111,0.46846846846846846,0.4686076772934288,0.4778761061946903,0.4909090909090909,0.46551724137931033
