Target,Feature Set,Model,Train Rows,Test Rows,MAE,MAE (%),RMSE,RMSE (%),R2,Direction Accuracy,Balanced Direction Accuracy,Correlation
true_d%_T+1D,no_llm_prediction_features,Ridge regression,627,111,0.08896571474231676,8.896571474231676,0.1283426341749806,12.83426341749806,-0.0498152063524282,0.5315315315315315,0.4908196721311475,-0.11794283685052237
true_d%_T+1D,no_llm_prediction_features,Mean baseline,627,111,0.08973030577454646,8.973030577454647,0.12562689243237193,12.562689243237193,-0.005856891148089183,0.45045045045045046,0.5,
true_d%_T+1D,no_llm_prediction_features,Random forest,627,111,0.09726247420224585,9.726247420224585,0.137574067708499,13.7574067708499,-0.20626886532534905,0.46846846846846846,0.43885245901639347,-0.2026034589048713
true_d%_T+1D,no_llm_prediction_features,MLP neural net,627,111,0.10148920654068082,10.148920654068082,0.13971172603647528,13.971172603647528,-0.24404668354796977,0.46846846846846846,0.4586885245901639,-0.08181254268033673
true_d%_T+1D,no_llm_prediction_features,Gradient boosting,627,111,0.10630570793721057,10.630570793721057,0.15371648574006314,15.371648574006313,-0.5059545182563692,0.5405405405405406,0.5152459016393443,-0.17513311164341558
true_d%_T+1D,with_llm_prediction_features,Ridge regression,627,111,0.08790556410453759,8.790556410453759,0.1271682080998664,12.71682080998664,-0.03069000657835197,0.5765765765765766,0.5678688524590163,0.004550105140061833
true_d%_T+1D,with_llm_prediction_features,Mean baseline,627,111,0.08973030577454646,8.973030577454647,0.12562689243237193,12.562689243237193,-0.005856891148089183,0.45045045045045046,0.5,
true_d%_T+1D,with_llm_prediction_features,Random forest,627,111,0.09606309639312505,9.606309639312505,0.13765833778719033,13.765833778719033,-0.20774710184389145,0.45045045045045046,0.4260655737704918,-0.22165200615386205
true_d%_T+1D,with_llm_prediction_features,Gradient boosting,627,111,0.10417261516380845,10.417261516380846,0.15499924645833543,15.499924645833543,-0.5311937060797063,0.5225225225225225,0.4898360655737705,-0.20662156298528866
true_d%_T+1D,with_llm_prediction_features,MLP neural net,627,111,0.11164749021583473,11.164749021583473,0.15575330159457096,15.575330159457096,-0.5461281398934459,0.5135135135135135,0.5086885245901639,-0.08332677474033176
true_d%_T+1D,with_llm_prediction_features,Direct QwASR/LLM prediction,0,111,0.6087243760370402,60.87243760370402,0.6995119430478126,69.95119430478127,-30.18611163683616,0.4954954954954955,0.4959016393442623,-0.08494496817581165
true_d%_T+3D,no_llm_prediction_features,Mean baseline,627,111,0.13107500214859014,13.107500214859014,0.17448941461091075,17.448941461091074,-0.0011305117801350129,0.4774774774774775,0.5,-4.247778690728308e-17
true_d%_T+3D,no_llm_prediction_features,Ridge regression,627,111,0.13221111512296757,13.221111512296757,0.18235065045397403,18.235065045397402,-0.09337001641258591,0.4864864864864865,0.4663305139882889,-0.34956329144337017
true_d%_T+3D,no_llm_prediction_features,Random forest,627,111,0.14505259167946685,14.505259167946685,0.1914483152322406,19.14483152322406,-0.20519029040921954,0.5045045045045045,0.4965842550422902,-0.07624443423238574
true_d%_T+3D,no_llm_prediction_features,MLP neural net,627,111,0.14828118580163366,14.828118580163366,0.194409420032913,19.4409420032913,-0.24275962609272206,0.46846846846846846,0.4645413142485361,-0.10270973995119967
true_d%_T+3D,no_llm_prediction_features,Gradient boosting,627,111,0.16249821701228961,16.24982170122896,0.2100452515374723,21.00452515374723,-0.45070217548327274,0.5045045045045045,0.5095966167859467,-0.11368255585623534
true_d%_T+3D,with_llm_prediction_features,Ridge regression,627,111,0.13087234578897405,13.087234578897405,0.18104191449786028,18.10419144978603,-0.07773203840159759,0.4954954954954955,0.47576447625243984,-0.24183238380340072
true_d%_T+3D,with_llm_prediction_features,Mean baseline,627,111,0.13107500214859014,13.107500214859014,0.17448941461091075,17.448941461091074,-0.0011305117801350129,0.4774774774774775,0.5,-4.247778690728308e-17
true_d%_T+3D,with_llm_prediction_features,MLP neural net,627,111,0.15034103382648856,15.034103382648855,0.20227554466405073,20.227554466405074,-0.3453623969882289,0.4774774774774775,0.47234873129473,-0.09776631643462273
true_d%_T+3D,with_llm_prediction_features,Gradient boosting,627,111,0.15348014475471491,15.34801447547149,0.20166308647550088,20.16630864755009,-0.337227644164273,0.4594594594594595,0.4616135328562134,-0.10965903253648901
true_d%_T+3D,with_llm_prediction_features,Random forest,627,111,0.17354899448728123,17.354899448728123,0.2276914396444983,22.76914396444983,-0.7046920372259973,0.4594594594594595,0.45998698763825635,-0.1572330031949523
true_d%_T+3D,with_llm_prediction_features,Direct QwASR/LLM prediction,0,111,0.6230815179607249,62.30815179607249,0.7193763771411759,71.93763771411759,-16.016289715271164,0.46846846846846846,0.4686076772934288,-0.14335855673002842
